Name,Nvel,Type,Dist,f_Dist,i,L3.6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Qual,L16a,L16b,S4G,EDD,RC,SimbadName,NEDname,_RA,_DE
CamB,9,10,3.36,2,65.0,0.075,1.21,7.89,0.47,66.2,0.012,1.21,0.0,2,0,1,0,1,RC,NAME Cam B,NAME Cam B,73.27958,67.09917
D512-2,4,10,15.2,1,56.0,0.325,2.37,9.22,1.24,93.94,0.081,0.0,0.0,2,0,1,0,0,RC,ESDO 512-02,ESDO 512-02,218.33465,26.99804
D564-8,6,10,8.79,2,63.0,0.033,0.72,10.11,0.61,21.13,0.029,0.0,0.0,2,0,1,0,0,RC,ESDO 564-8,ESDO 564-8,135.72232,20.07561
D631-7,16,10,7.72,2,59.0,0.196,1.22,20.93,0.7,115.04,0.29,0.0,57.7,1,1,1,0,0,RC,ESDO 631-7,ESDO 631-7,119.25428,14.39657
DDO064,14,10,6.8,1,60.0,0.157,1.2,17.41,0.69,151.65,0.211,3.49,46.1,1,0,1,0,0,RC,DDO064,DDO064,147.59487,31.48828
DDO154,12,10,4.04,2,64.0,0.053,0.65,19.99,0.37,71.26,0.275,4.96,47.0,2,1,1,0,0,RC,DDO154,DDO154,193.52187,27.14963
DDO161,31,10,7.5,1,70.0,0.548,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1,1,1,0,0,RC,DDO161,DDO161,195.81973,-17.42303
DDO168,10,10,4.25,2,63.0,0.191,1.29,18.23,1.02,92.22,0.413,4.3,53.4,2,1,1,0,1,RC,DDO168,DDO168,198.61666,45.91976
DDO170,8,10,15.4,1,66.0,0.543,3.03,9.39,1.95,73.93,0.735,9.14,60.0,2,1,1,0,0,RC,DDO170,DDO170,198.97408,25.43615
ESO079-G014,15,4,28.7,1,79.0,51.733,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,1,1,1,0,0,RC,ESO079-G014,ESO079-G014,15.71436,-65.60999
ESO116-G012,15,7,13.0,1,74.0,4.292,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,1,1,1,0,0,RC,ESO116-G012,ESO116-G012,48.26977,-57.35725
