CID,sn_ra,sn_dec,zCMB,HOST_LOGMASS,IS_CALIBRATOR,pgc,galaxy_name,match_sep_arcsec,log_2Vm,e_log_2Vm,u_log_2Vm,vmax_apparent,VHI,e_VHI,m21,logR25,inclination_deg,v_rot,v_rot_log,mtype,v_rot_alfalfa,w50_alfalfa,v_rot_sparc,v_rot_deep,v_rot_source
2011fe,210.774,54.2737,0.00122,10.677,1,,,,,,,,,,,,,,,,,,,,None
2012cg,186.803,9.4203,0.00256,9.633,1,40809.0,NGC4424,15.4200000001486,1.7669999599456787,0.0540000014007091,0.0,29.23950151050904,439.0,4.0,16.18000030517578,0.270000010728836,59.424190634892426,33.961633276140624,33.961633276140624,SBa,,,,33.961633276140624,HyperLEDA
1994DRichmond,188.51,7.7016,0.00299,8.46247,0,41772.0,NGC4526,13.674340934750624,2.4549999237060547,0.0340000018477439,0.0,142.5508883328081,601.0,26.0,13.56999969482422,0.449999988079071,72.59538156068751,149.39055242290456,149.39055242290456,SO,,,,149.39055242290456,HyperLEDA
1981B,188.623,2.1998,0.0035,9.686,1,41823.0,NGC4536,56.63531054035196,2.4639999866485596,0.0189999993890523,0.0,145.5358514291466,1800.0,3.0,12.93000030517578,0.3799999952316284,68.08060555469923,156.87645921099912,156.87645921099912,SBbc,,,,156.87645921099912,HyperLEDA
2013aa,218.141,-44.2244,0.00478,10.53,1,,,,,,,,,,,,,,,,,,,,None
2017cbv,218.143,-44.1341,0.00478,10.449,1,,,,,,,,,,,,,,,,,,,,None
2001el,56.1275,-44.6398,0.00357,11.28,1,13727.0,NGC1448,24.432118205328308,2.571000099182129,0.0120000001043081,0.0,186.19589564982135,1168.0,4.0,12.489999771118164,0.6600000262260437,84.80750729478716,186.9631427708393,186.9631427708393,Sc,,,,186.9631427708393,HyperLEDA
2011by,178.94,55.3256,0.00369,10.417,1,37466.0,NGC3972,20.575606916953237,2.3499999046325684,0.0199999995529651,0.0,111.93603234819888,851.0,7.0,14.6899995803833,0.5699999928474426,79.4067649734536,113.87682811157524,113.87682811157524,SBbc,,,132.6999969482422,132.6999969482422,SPARC
1998aq,179.108,55.1287,0.00369,10.199,1,37520.0,NGC3982,38.46495027935481,2.2730000019073486,0.0209999997168779,0.0,93.74972581510404,1108.0,6.0,14.279999732971191,0.0599999986588954,30.09793122596416,186.94627801203052,186.94627801203052,SBb,,,,186.94627801203052,HyperLEDA
1990N,190.736,13.2565,0.00462,9.802,1,42741.0,NGC4639,62.10289848325064,2.4189999103546143,0.0299999993294477,0.0,131.21090008517322,984.0,8.0,14.40999984741211,0.1599999964237213,47.47215110988318,178.04613642091945,178.04613642091945,SBbc,,,,178.04613642091945,HyperLEDA
2021pit,56.1257,-44.6325,0.00366,-9.0,1,13727.0,NGC1448,48.5382364739185,2.571000099182129,0.0120000001043081,0.0,186.19589564982135,1168.0,4.0,12.489999771118164,0.6600000262260437,84.80750729478716,186.9631427708393,186.9631427708393,Sc,,,,186.9631427708393,HyperLEDA
2005df,64.4077,-62.7693,0.00435,10.375,1,14814.0,NGC1559,55.136184126203176,2.380000114440918,0.0289999991655349,0.0,119.94167755679602,1295.0,4.0,13.420000076293944,0.2800000011920929,60.31645361613234,138.0585869020543,138.0585869020543,SBc,,,,138.0585869020543,HyperLEDA
2005df_ANU,64.4077,-62.7693,0.00435,9.552,1,14814.0,NGC1559,55.136184126203176,2.380000114440918,0.0289999991655349,0.0,119.94167755679602,1295.0,4.0,13.420000076293944,0.2800000011920929,60.31645361613234,138.0585869020543,138.0585869020543,SBc,,,,138.0585869020543,HyperLEDA
2013dy,334.573,40.5693,0.00293,9.131,1,68535.0,NGC7250,25.134844340058137,2.188999891281128,0.0270000007003545,0.0,77.26270263540178,1162.0,10.0,15.460000038146973,0.1199999973177909,41.68377078099997,116.18122368969291,116.18122368969291,,,,,116.18122368969291,HyperLEDA
2012ht,163.345,16.7764,0.00465,9.53,1,32694.0,NGC3447,25.249388111383897,2.0269999504089355,0.0540000014007091,0.0,53.20714483561685,1071.0,5.0,13.760000228881836,0.2300000041723251,55.57973309955202,64.50026350040795,64.50026350040795,,,,,64.50026350040795,HyperLEDA
1980N,50.7513,-37.2139,0.0046,11.314,0,,,,,,,,,,,,,,,,,,,,None
2012fr,53.4,-36.1271,0.0046,10.732,1,13179.0,NGC1365,40.14677571112297,2.559000015258789,0.0179999992251396,0.0,181.12150557199175,1636.0,4.0,12.43000030517578,0.2300000041723251,55.57973309955202,219.56421211994612,219.56421211994612,SBb,,,,219.56421211994612,HyperLEDA
2007on,54.7125,-35.5753,0.0046,11.2901,0,13433.0,NGC1404,65.76364041018485,2.4149999618530273,0.0199999995529651,0.0,130.00796673879876,1900.0,21.0,,0.6200000047683716,82.23068062913572,131.2124483176472,131.2124483176472,Sc,,,,131.2124483176472,HyperLEDA
1992A,54.1142,-34.9587,0.0046,11.5,0,13318.0,NGC1380,59.69595296164832,2.6989998817443848,0.0199999995529651,0.0,250.0171994103925,1844.0,16.0,,0.2599999904632568,58.50598699409827,293.2083226187074,293.2083226187074,SO,,,,293.2083226187074,HyperLEDA
2015F,114.066,-69.5064,0.00515,12.198,1,,,,,,,,,,,,,,,,,,,,None
2011B,133.952,78.2174,0.00458,11.08,0,,,,,,,,,,,,,,,,,,,,None
2018aoz,177.758,-28.7441,0.00701,9.85343,0,,,,,,,,,,,,,,,,,,,,None
2016coj,182.028,65.1772,0.00489,11.036,0,38524.0,NGC4125,13.482447848961677,,,,,,,,0.1099999994039535,40.0479631355386,,,E,,,,,None
SN2016coj,182.028,65.1772,0.00489,11.036,0,38524.0,NGC4125,13.482447848961677,,,,,,,,0.1099999994039535,40.0479631355386,,,E,,,,,None
2007sr,180.47,-18.9728,0.0066,10.682,1,,,,,,,,,,,,,,,,,,,,None
2007gi,180.348,61.8927,0.00505,7.0,0,37930.0,NGC4036,50.476513350270075,,,,,,,,0.3600000143051147,66.67142237937365,,,E-SO,,,,,None
1994ae,161.758,17.2752,0.0054,10.196,1,32207.0,NGC3370,30.072718533495763,2.390000104904175,0.0120000001043081,0.0,122.73547543109888,1281.0,4.0,14.109999656677246,0.2399999946355819,56.58550530533143,147.03991187079217,147.03991187079217,Sc,,,,147.03991187079217,HyperLEDA
2015bp,226.375,1.634,0.00603,8.048,0,53865.0,NGC5839,37.534117813065976,,,,,,,,0.050000000745058,27.571955431350226,,,SO,,,,,None
2018gv,121.394,-11.4379,0.00596,10.06,1,22721.0,NGC2525,62.59835141597469,2.2709999084472656,0.0230000000447034,0.0,93.31896486935068,1584.0,5.0,14.760000228881836,0.1599999964237213,47.47215110988318,126.62881772018952,126.62881772018952,SBc,,,,126.62881772018952,HyperLEDA
1981D,50.6599,-37.2327,0.00551,11.314,0,12651.0,NGC1316,101.22024501055918,2.430999994277954,0.0199999995529651,0.0,134.88696984504307,1775.0,17.0,,0.2000000029802322,52.35549301228906,170.35152604906568,170.35152604906568,SO,,,,170.35152604906568,HyperLEDA
2006dd,50.6734,-37.2036,0.00551,11.01,0,12651.0,NGC1316,15.140317037631611,2.430999994277954,0.0199999995529651,0.0,134.88696984504307,1775.0,17.0,,0.2000000029802322,52.35549301228906,170.35152604906568,170.35152604906568,SO,,,,170.35152604906568,HyperLEDA
2007af,215.588,-0.3938,0.00635,10.331,1,51344.0,NGC5584,47.17141507303036,2.2249999046325684,0.0209999997168779,0.0,83.9401824735648,1640.0,4.0,14.109999656677246,0.1199999973177909,41.68377078099997,126.2222622800976,126.2222622800976,SBc,,,,126.2222622800976,HyperLEDA
2007le,354.702,-6.5226,0.00552,9.02452,0,72001.0,NGC7721,15.465109116970202,2.440999984741211,0.0120000001043081,0.0,138.02888796141912,2016.0,5.0,13.479999542236328,0.5199999809265137,76.64742885797187,141.86383871835713,141.86383871835713,Sc,,,,141.86383871835713,HyperLEDA
1998dm,21.5582,-6.1039,0.00567,7.05776,0,5341.0,MCG-1-04-044,35.93719521610053,2.3580000400543213,0.0089999996125698,0.0,114.0171141156459,1959.0,4.0,14.529999732971191,0.7699999809265137,90.0,114.0171141156459,114.0171141156459,Sc,,,,114.0171141156459,HyperLEDA
2014bv,186.129,75.5357,0.00548,10.4962,0,40378.0,NGC4386,43.75843233028572,,,,,,,,0.2399999946355819,56.58550530533143,,,SO,,,,,None
2019np,157.342,29.5106,0.0055,10.63,1,30895.0,NGC3254,73.14769716133334,2.565999984741211,0.0219999998807907,0.0,184.06448035422264,1366.0,5.0,13.609999656677246,0.3700000047683716,67.38364471362173,199.3980981908593,199.3980981908593,Sbc,,,,199.3980981908593,HyperLEDA
1997br,200.177,-22.0367,0.00801,8.92838,0,46574.0,ESO576-40,55.956987052544974,2.177999973297119,0.0270000007003545,0.0,75.3303486776011,2086.0,4.0,14.449999809265137,0.6600000262260437,84.80750729478716,75.6407582757636,75.6407582757636,SBcd,,,,75.6407582757636,HyperLEDA
2011iv,54.714,-35.5922,0.00594,7.0,0,13433.0,NGC1404,6.531186722158627,2.4149999618530273,0.0199999995529651,0.0,130.00796673879876,1900.0,21.0,,0.1000000014901161,38.31727915996693,209.6849675974606,209.6849675974606,E,,,,209.6849675974606,HyperLEDA
1995al,147.733,33.5526,0.00592,10.296,1,28357.0,NGC3021,22.67971781131429,2.3570001125335693,0.0579999983310699,0.0,113.75490101455571,1539.0,4.0,14.789999961853027,0.2300000041723251,55.57973309955202,137.89916960532213,137.89916960532213,Sbc,,,,137.89916960532213,HyperLEDA
1996X,199.505,-26.8459,0.00812,9.77381,0,46330.0,NGC5061,63.94042226944679,,,,,,,,0.1400000005960464,44.71307114039239,,,E,,,,,None
2017erp,227.312,-11.3342,0.00727,10.591,1,54097.0,NGC5861,47.643513724270406,2.4719998836517334,0.0379999987781047,0.0,148.24152976204147,1856.0,5.0,13.850000381469728,0.3499999940395355,65.94311571372272,162.3423968434049,162.3423968434049,SBc,,,,162.3423968434049,HyperLEDA
1992G,159.077,37.3212,0.00611,10.0995,0,31428.0,NGC3294,32.97730128448411,2.5420000553131104,0.050000000745058,1.0,174.168679700675,1589.0,6.0,14.630000114440918,0.2800000011920929,60.31645361613234,200.4764506539892,200.4764506539892,Sc,,,,200.4764506539892,HyperLEDA
2005cf,230.384,-7.4132,0.00703,9.184,1,,,,,,,,,,,,,,,,,,,,None
2002fk,50.5238,-15.4009,0.00668,9.89,1,12626.0,NGC1309,11.884864323962322,2.069999933242798,0.0630000010132789,0.0,58.74486871705889,2137.0,4.0,14.0600004196167,0.0299999993294477,21.507541089430337,160.23206239554813,160.23206239554813,Sbc,,,,160.23206239554813,HyperLEDA
2003du,218.649,59.3344,0.00664,9.345,1,52091.0,UGC9391,21.57766437761506,2.003999948501587,0.0209999997168779,0.0,50.46263832000054,1918.0,9.0,15.359999656677246,0.1199999973177909,41.68377078099997,75.8815168334755,75.8815168334755,SBd,,,,75.8815168334755,HyperLEDA
2008Q,21.2385,9.5504,0.00722,10.553,0,,,,,,,,,,,,,,,,,,,,None
2003kf,91.1476,-12.6286,0.00769,8.21817,0,18373.0,MCG-2-16-002,14.781786089645625,2.3350000381469727,0.0320000015199184,0.0,108.135935684649,2231.0,6.0,13.989999771118164,0.699999988079071,90.0,108.135935684649,108.135935684649,Sb,,,,108.135935684649,HyperLEDA
1998dh,348.668,4.5373,0.00769,10.935,1,70795.0,NGC7541,54.871927248714066,2.5969998836517334,0.032999999821186,0.0,197.68325707435957,2679.0,4.0,13.65999984741211,0.4799999892711639,74.37436461439302,205.26957944563188,205.26957944563188,SBc,,,,205.26957944563188,HyperLEDA
2012hr,95.4103,-59.7141,0.00788,10.1223,0,18880.0,ESO121-26,94.27530959906038,2.450999975204468,0.0270000007003545,0.0,141.24399068162575,2220.0,6.0,13.760000228881836,0.1400000005960464,44.71307114039239,200.75704219056115,200.75704219056115,SBbc,,,,200.75704219056115,HyperLEDA
2009ig,39.5484,-1.3125,0.00801,9.906,1,9988.0,NGC1015,23.065723487460883,2.1510000228881836,0.0170000009238719,0.0,70.78969272861168,2631.0,12.0,14.579999923706056,0.0599999986588954,30.09793122596416,141.16168833740892,141.16168833740892,SBa,,,,141.16168833740892,HyperLEDA
1996Z,144.187,-21.1476,0.00867,7.0,0,27351.0,NGC2935,69.48704627483615,2.4079999923706055,0.0080000003799796,0.0,127.92929209790616,2277.0,5.0,13.5,0.1199999973177909,41.68377078099997,192.36942528180057,192.36942528180057,SBb,,,,192.36942528180057,HyperLEDA
1995D,145.228,5.1406,0.0078,10.5795,0,27635.0,NGC2962,91.4797551374138,2.5840001106262207,0.0289999991655349,0.0,191.8536716163065,1970.0,8.0,16.170000076293945,0.2599999904632568,58.50598699409827,224.996893715782,224.996893715782,SO-a,,,,224.996893715782,HyperLEDA
1991M,239.645,17.458,0.00758,7.68875,0,56537.0,IC1151,70.65861589363095,2.319999933242798,0.0120000001043081,0.0,104.46479048498549,2169.0,5.0,14.850000381469728,0.4300000071525574,71.3632317815232,110.24568501340576,110.24568501340576,SBc,,,,110.24568501340576,HyperLEDA
2013gh,330.591,-18.9168,0.00775,9.71043,0,67892.0,NGC7183,2.819645367662669,2.5920000076293945,0.0299999993294477,0.0,195.42045132921655,2635.0,12.0,14.739999771118164,0.5400000214576721,77.75607791985365,199.9690250179784,199.9690250179784,SO-a,,,,199.9690250179784,HyperLEDA
2001bg,128.829,28.4683,0.00796,10.449,1,24111.0,NGC2608,33.19298721119908,2.2720000743865967,0.0829999968409538,0.0,93.5341230389506,2157.0,8.0,15.989999771118164,0.25,57.56031600718797,110.82811956216705,110.82811956216705,SBb,,,,110.82811956216705,HyperLEDA
2005W,27.6906,21.7599,0.00861,10.827,1,6793.0,NGC691,59.18272720989478,2.4700000286102295,0.0219999998807907,0.0,147.56047105423212,2663.0,4.0,15.029999732971191,0.1599999964237213,47.47215110988318,200.23162513634597,200.23162513634597,Sbc,,,,200.23162513634597,HyperLEDA
ASASSN-15so,168.546,48.3187,0.00773,10.95,1,34232.0,NGC3583,3.4398255769403954,2.493000030517578,0.0179999992251396,0.0,155.58582778821088,2139.0,5.0,14.289999961853027,0.2300000041723251,55.57973309955202,188.60863367641275,188.60863367641275,SBb,,,,188.60863367641275,HyperLEDA
PSNJ0717457,109.44,23.3446,0.00812,9.38921,0,20592.0,NGC2357,84.61036343151284,2.492000102996826,0.0140000004321336,0.0,155.22801622012778,2268.0,5.0,13.970000267028809,0.8399999737739563,90.0,155.22801622012778,155.22801622012778,Sc,,,,155.22801622012778,HyperLEDA
2005am,139.052,-16.3044,0.00841,11.3117,0,26151.0,NGC2811,36.60034972506602,2.382999897003174,0.0280000008642673,0.0,120.77301307984186,2368.0,8.0,17.459999084472656,0.4699999988079071,73.78967007356067,125.77333705192896,125.77333705192896,SBa,,,,125.77333705192896,HyperLEDA
1997bp,191.724,-11.6425,0.00931,9.75,1,43118.0,NGC4680,26.22517874105428,2.4079999923706055,0.0379999987781047,0.0,127.92929209790616,2492.0,9.0,16.420000076293945,0.2199999988079071,54.54099080577416,157.0588841083254,157.0588841083254,Sa,,,,157.0588841083254,HyperLEDA
2019ein,208.371,40.2754,0.00837,7.0,0,49356.0,NGC5353,46.4244935353541,2.427999973297119,0.0309999994933605,0.0,133.95840800443082,2307.0,12.0,14.550000190734863,0.2800000011920929,60.31645361613234,154.19251163952612,154.19251163952612,,,,,154.19251163952612,HyperLEDA
2002er,257.875,7.9958,0.00853,9.82908,0,59782.0,UGC10743,12.954319742840148,2.325000047683716,0.0649999976158142,0.0,105.67446359444536,2569.0,5.0,16.350000381469727,0.3899999856948852,68.76309351277135,113.37358786530922,113.37358786530922,Sa,,,,113.37358786530922,HyperLEDA
2006D,193.141,-9.7752,0.00966,9.554,1,43690.0,MCG-1-33-034,13.938737388988896,,,,,,,,0.209999993443489,53.46706408792203,,,Sab,,,,,None
2013cs,198.812,-17.9654,0.01029,9.413,0,46097.0,ESO576-17,30.04802156560204,1.5479999780654907,0.0740000009536743,0.0,17.659157597703103,2775.0,7.0,16.059999465942383,0.0599999986588954,30.09793122596416,35.21411670290549,35.21411670290549,SBcd,,,,35.21411670290549,HyperLEDA
1999cp,211.63,-5.4469,0.00998,10.441,1,50323.0,NGC5468,57.38149178946258,2.0239999294281006,0.0270000007003545,0.0,52.84086687415742,2844.0,5.0,14.0,0.0299999993294477,21.507541089430337,144.1283513423901,144.1283513423901,SBc,,,,144.1283513423901,HyperLEDA
2002cr,211.657,-5.4394,0.00998,10.426,1,50323.0,NGC5468,67.18716841792222,2.0239999294281006,0.0270000007003545,0.0,52.84086687415742,2844.0,5.0,14.0,0.0299999993294477,21.507541089430337,144.1283513423901,144.1283513423901,SBc,,,,144.1283513423901,HyperLEDA
2002dj,198.251,-19.519,0.01051,11.1654,0,45908.0,NGC5018,12.9139459499867,2.1700000762939453,0.0509999990463256,0.0,73.95543240040418,2850.0,18.0,16.639999389648438,0.1599999964237213,47.47215110988318,100.35354530517674,100.35354530517674,E,,,,100.35354530517674,HyperLEDA
1998es,24.3233,5.8807,0.00957,9.78837,0,6007.0,NGC632,14.585431087218414,2.246999979019165,0.0489999987185001,0.0,88.30188676843004,3159.0,8.0,15.949999809265137,0.0700000002980232,32.395916947825754,164.81408644353132,164.81408644353132,SO,,,,164.81408644353132,HyperLEDA
PTF10icb,193.705,58.8819,0.009,8.8903,0,43983.0,MCG10-19-001,9.074447641483264,,,,,,,,0.25,57.56031600718797,,,,,,,,None
2009Y,220.599,-17.2468,0.0105,10.636,1,52521.0,NGC5728,24.78286504824616,2.566999912261963,0.0410000011324882,0.0,184.48876201385903,2786.0,8.0,15.039999961853027,0.2300000041723251,55.57973309955202,223.64616255056765,223.64616255056765,SBa,,,,223.64616255056765,HyperLEDA
2013E,150.023,-34.2337,0.01042,10.5748,0,28915.0,IC2532,20.322214446258783,1.9539999961853027,0.0350000001490116,0.0,44.97487868145749,2822.0,8.0,16.989999771118164,0.209999993443489,53.46706408792203,55.97268238384195,55.97268238384195,SBa,,,,55.97268238384195,HyperLEDA
1999ac,241.812,7.9723,0.00979,9.83179,0,57205.0,NGC6063,36.38637657147234,2.378000020980835,0.0170000009238719,0.0,119.390569913436,2847.0,5.0,15.289999961853027,0.2800000011920929,60.31645361613234,137.424235740531,137.424235740531,Sc,,,,137.424235740531,HyperLEDA
2009an,185.697,65.8512,0.00921,10.5117,0,40133.0,NGC4332,29.220924010058035,,,,,,,,0.1299999952316284,43.235793359656256,,,SBa,,,,,None
2006bh,340.067,-66.4851,0.01042,10.501,1,69453.0,NGC7329,113.5238283354908,2.5390000343322754,0.0099999997764825,0.0,172.96970258683183,3249.0,8.0,14.220000267028809,0.1400000005960464,44.71307114039239,245.85035945483753,245.85035945483753,SBbc,,,,245.85035945483753,HyperLEDA
2004S,101.431,-31.2312,0.0098,7.0,0,19558.0,ESO427-6,47.51612778835102,,,,,,,,0.4600000083446502,73.19691204138745,,,Sbc,,,,,None
2021hpr,154.161,73.4005,0.00958,6.952,1,,,,,,,,,,,,,,,,,,,,None
2002dp,352.127,22.4289,0.01049,10.53,1,71534.0,NGC7678,50.184077156171014,2.4260001182556152,0.0340000018477439,0.0,133.34296953450848,3488.0,4.0,14.93000030517578,0.1400000005960464,44.71307114039239,189.52693159877168,189.52693159877168,SBc,,,,189.52693159877168,HyperLEDA
1997do,111.677,47.0933,0.01048,9.594,0,21020.0,UGC3845,6.325693637793205,2.259000062942505,0.0280000008642673,0.0,90.77579629483496,3033.0,5.0,15.619999885559082,0.1599999964237213,47.47215110988318,123.1778747065703,123.1778747065703,SBbc,,,,123.1778747065703,HyperLEDA
1997bq,154.272,73.3839,0.00993,12.588,1,,,,,,,,,,,,,,,,,,,,None
2008fv_comb,154.239,73.4101,0.00993,8.37261,1,30019.0,NGC3147,69.92438487397004,2.5320000648498535,0.0399999991059303,0.0,170.20412026577026,2818.0,8.0,14.270000457763672,0.0599999986588954,30.09793122596416,339.4039450179533,339.4039450179533,Sbc,,,,339.4039450179533,HyperLEDA
ASASSN-16jf,339.247,-25.232,0.0104,8.01649,0,69323.0,ESO534-4,55.71965541881071,1.6100000143051147,0.0579999983310699,0.0,20.36901456113538,3443.0,9.0,15.460000038146973,0.1800000071525573,50.00806395299904,26.5867205358719,26.5867205358719,SBd,,,,26.5867205358719,HyperLEDA
iPTF13ebh,35.4999,33.2705,0.01238,11.5,0,8997.0,NGC890,20.276577620487213,,,,,,,,0.2000000029802322,52.35549301228906,,,E-SO,,,,,None
2010ko,83.206,-14.0961,0.01096,7.25539,0,,,,,,,,,,,,,,,,,,,,None
2013ex,83.1942,-14.0459,0.01096,8.72661,0,17422.0,NGC1954,65.84771825962689,2.625,0.0199999995529651,0.0,210.8482517142911,3127.0,5.0,13.75,0.2800000011920929,60.31645361613234,242.6963860719681,242.6963860719681,Sbc,,,,242.6963860719681,HyperLEDA
2009ab,64.1516,2.7642,0.01189,9.3236,0,14779.0,UGC2998,37.175287490537805,1.8910000324249268,0.0610000006854534,0.0,38.90183045644561,3349.0,6.0,16.6200008392334,0.050000000745058,27.571955431350226,84.04624455480254,84.04624455480254,SBb,,,,84.04624455480254,HyperLEDA
2011ao,178.463,33.3629,0.01168,7.12388,0,37308.0,IC2973,10.697364161352242,2.2239999771118164,0.0149999996647238,0.0,83.74713938768082,3206.0,7.0,15.34000015258789,0.2399999946355819,56.58550530533143,100.33099192994491,100.33099192994491,SBcd,,,,100.33099192994491,HyperLEDA
2001cz,191.876,-39.58,0.01275,7.0,0,43170.0,NGC4679,31.071047616709304,2.5840001106262207,0.0140000004321336,0.0,191.8536716163065,4648.0,5.0,14.470000267028809,0.4199999868869781,70.73122586849632,203.2389251927754,203.2389251927754,SBc,,,,203.2389251927754,HyperLEDA
2009kk,57.4345,-3.2644,0.01244,9.51953,0,145795.0,,21.61008098089538,,,,,,,,0.699999988079071,90.0,,,,,,,,None
2010Y,162.766,65.7797,0.01142,10.1182,0,32512.0,NGC3392,24.472359918990797,,,,,,,,0.1400000005960464,44.71307114039239,,,E,,,,,None
2008R,45.9738,-11.9943,0.0126,11.0466,0,11545.0,NGC1200,12.185762183783684,,,,,,,,0.1800000071525573,50.00806395299904,,,E-SO,,,,,None
2002ha,311.827,0.3127,0.0122,10.6057,0,65375.0,NGC6962,29.950098497345547,2.6010000705718994,0.0970000028610229,0.0,199.51248360140875,4219.0,9.0,14.380000114440918,0.1299999952316284,43.235793359656256,291.2580933927144,291.2580933927144,,,,,291.2580933927144,HyperLEDA
2009kq,129.063,28.0671,0.01247,7.75299,0,24178.0,MCG5-21-001,25.70221002170393,1.7660000324249268,0.0390000008046627,0.0,29.17225739172153,3507.0,8.0,17.100000381469727,0.1800000071525573,50.00806395299904,38.077181021514846,38.077181021514846,SBc,,,,38.077181021514846,HyperLEDA
2001bt,288.445,-59.2897,0.01407,10.7524,0,62934.0,IC4830,33.75109479693786,2.5980000495910645,0.0070000002160668,0.0,198.13903975274891,4388.0,6.0,,0.1299999952316284,43.235793359656256,289.25307280692584,289.25307280692584,SBbc,,,,289.25307280692584,HyperLEDA
2001ep,74.2511,-4.7612,0.01306,9.88173,0,16390.0,NGC1699,16.82599179838381,,,,,,,,0.1800000071525573,50.00806395299904,,,Sb,,,,,None
2013gy,55.5703,-4.7218,0.01309,10.4638,0,13606.0,NGC1418,35.46388021636296,2.5309998989105225,0.0599999986588954,0.0,169.81259676840983,4218.0,25.0,16.1200008392334,0.2399999946355819,56.58550530533143,203.43938193643572,203.43938193643572,SBb,,,,203.43938193643572,HyperLEDA
AT2017cfd,130.204,73.4875,0.01222,10.6316,0,24397.0,IC511,21.69239498062719,,,,,,,,0.4300000071525574,71.3632317815232,,,SO-a,,,,,None
2017cfd,130.204,73.4875,0.01222,10.6316,0,24397.0,IC511,21.69239498062719,,,,,,,,0.4300000071525574,71.3632317815232,,,SO-a,,,,,None
1999dq,38.4987,20.9751,0.01334,10.854,1,9776.0,NGC976,8.12354602372582,2.4590001106262207,0.0149999996647238,0.0,143.8699573842388,4297.0,6.0,14.979999542236328,0.0599999986588954,30.09793122596416,286.89100492707445,286.89100492707445,Sbc,,,,286.89100492707445,HyperLEDA
2007hj,345.449,15.5865,0.01288,10.8348,0,70290.0,NGC7461,17.400287353855813,,,,,,,,0.0900000035762786,36.47784060460967,,,SO,,,,,None
2008hv,136.892,3.3923,0.0136,10.5379,0,25646.0,NGC2765,39.33762067021814,,,,,,,,0.3899999856948852,68.76309351277135,,,SO,,,,,None
1997E,101.909,74.4975,0.01314,8.75604,0,,,,,,,,,,,,,,,,,,,,None
2007cv,159.439,-27.0825,0.01361,9.00235,0,31586.0,IC2597,31.00580590791971,2.4230000972747803,0.0209999997168779,0.0,132.42503659134945,3016.0,34.0,,0.1700000017881393,48.76560643100902,176.0925862660109,176.0925862660109,E,,,,176.0925862660109,HyperLEDA
1992al,311.485,-51.3944,0.01434,10.0338,0,65335.0,ESO234-69,30.491894005057915,2.440000057220459,0.006000000052154,0.0,137.71145331107633,4377.0,8.0,14.600000381469728,0.5799999833106995,79.95897499965817,139.8535673579833,139.8535673579833,SBc,,,,139.8535673579833,HyperLEDA
1999dk,22.8622,14.2849,0.014,9.64099,0,5673.0,UGC1087,25.8670833299792,2.072999954223633,0.0240000002086162,0.0,59.1520715513941,4484.0,4.0,15.770000457763672,0.0299999993294477,21.507541089430337,161.34274578600903,161.34274578600903,Sc,80.5,161.0,,219.57119497478735,ALFALFA
ASASSN-16dn,162.206,-20.2639,0.01406,8.03684,0,844146.0,,12.961543118016175,,,,,,,,0.2199999988079071,54.54099080577416,,,,,,,,None
ASASSN-16la,37.3226,18.0879,0.01424,8.23133,0,,,,,,,,,,,,,,,,,,,,None
2005kc,338.531,5.5684,0.01386,10.6541,0,69172.0,NGC7311,12.344132209361044,2.6589999198913574,0.0170000009238719,0.0,228.01841591605896,4541.0,8.0,15.789999961853027,0.3300000131130218,64.43478676271998,252.76549830061373,252.76549830061373,Sab,,,,252.76549830061373,HyperLEDA
2007ca,202.774,-15.1018,0.01509,9.44451,0,47514.0,MCG-2-34-061,31.095343702930332,2.3499999046325684,0.0070000002160668,0.0,111.93603234819888,4238.0,4.0,,0.6499999761581421,84.10727876348867,112.53065924070276,112.53065924070276,Sc,,,,112.53065924070276,HyperLEDA
2006N,92.1302,64.7236,0.01416,9.70642,0,18467.0,MCG11-08-012,12.762444906848032,,,,,,,,0.209999993443489,53.46706408792203,,,E-SO,,,,,None
2006td,29.5657,36.3494,0.01504,9.15931,0,74050.0,KUG0155+361,5.859692824720117,,,,,,,,0.050000000745058,27.571955431350226,,,Sc,,,,,None
2013gq,124.473,23.4696,0.01457,10.8931,0,23256.0,NGC2554,11.5027648850032,2.638000011444092,0.0549999997019767,0.0,217.25511781067425,4130.0,8.0,16.799999237060547,0.1800000071525573,50.00806395299904,283.57292812983087,283.57292812983087,SO-a,,,,283.57292812983087,HyperLEDA
2004eo,308.226,9.9285,0.0142,9.18868,0,64932.0,NGC6928,62.35198473180712,2.618000030517578,0.0560000017285347,0.0,207.4770358964513,4707.0,7.0,15.359999656677246,0.5799999833106995,79.95897499965817,210.7043598576651,210.7043598576651,SBab,,,,210.7043598576651,HyperLEDA
2003gt,308.246,9.872,0.01422,7.0,0,64935.0,NGC6930,12.854960132192174,2.5369999408721924,0.0469999983906745,0.0,172.1749419405988,4694.0,25.0,14.989999771118164,0.4799999892711639,74.37436461439302,178.78235337820553,178.78235337820553,,,,,178.78235337820553,HyperLEDA
2005bo,192.421,-11.0965,0.01503,7.89478,0,43382.0,NGC4708,15.072159765549792,2.200999975204468,0.0280000008642673,0.0,79.42733289507873,4166.0,8.0,16.40999984741211,0.1299999952316284,43.235793359656256,115.95190999930848,115.95190999930848,SBab,,,,115.95190999930848,HyperLEDA
